record_id,customer_id,site,event_time,metric_type,value,unit
61,C1060,grenoble,2026-01-01T18:00:00,sales,577.1,eur
62,C1061,paris,2026-01-01T18:10:00,returns,7,count
63,C1062,paris,2026-01-01T18:20:00,sales,4392.49,eur
64,C1063,paris,2026-01-01T18:30:00,sales,3664.9,eur
65,C1064,lyon,2026-01-01T18:40:00,tickets,24,count
66,C1065,toulouse,2026-01-01T18:50:00,sales,3305.56,eur
67,C1066,toulouse,2026-01-01T19:00:00,sales,1339.98,eur
68,C1067,lyon,2026-01-01T19:10:00,returns,30,count
69,C1068,lyon,2026-01-01T19:20:00,tickets,24,count
70,C1069,lille,2026-01-01T19:30:00,tickets,9,count
71,C1070,grenoble,2026-01-01T19:40:00,tickets,20,count
72,C1071,toulouse,2026-01-01T19:50:00,returns,28,count
73,C1072,lyon,2026-01-01T20:00:00,returns,3,count
74,C1073,paris,2026-01-01T20:10:00,sales,338.85,eur
75,C1074,lyon,2026-01-01T20:20:00,tickets,17,count
76,C1075,paris,2026-01-01T20:30:00,tickets,7,count
77,C1076,paris,2026-01-01T20:40:00,sales,3545.05,eur
78,C1077,paris,2026-01-01T20:50:00,sales,355.65,eur
79,C1078,toulouse,2026-01-01T21:00:00,returns,2,count
80,C1079,lille,2026-01-01T21:10:00,sales,1406.82,eur
81,C1080,toulouse,2026-01-01T21:20:00,sales,2705.38,eur
82,C1081,lyon,2026-01-01T21:30:00,tickets,15,count
83,C1082,lille,2026-01-01T21:40:00,returns,25,count
84,C1083,lille,2026-01-01T21:50:00,sales,489.74,eur
85,C1084,lille,2026-01-01T22:00:00,returns,13,count
86,C1085,paris,2026-01-01T22:10:00,returns,27,count
87,C1086,paris,2026-01-01T22:20:00,tickets,20,count
88,C1087,grenoble,2026-01-01T22:30:00,sales,2025.05,eur
89,C1088,lyon,2026-01-01T22:40:00,sales,1258.31,eur
90,C1089,lyon,2026-01-01T22:50:00,tickets,14,count
91,C1090,grenoble,2026-01-01T23:00:00,returns,5,count
92,C1091,paris,2026-01-01T23:10:00,returns,7,count
93,C1092,toulouse,2026-01-01T23:20:00,returns,25,count
94,C1093,toulouse,2026-01-01T23:30:00,sales,271.93,eur
95,C1094,lyon,2026-01-01T23:40:00,sales,4845.6,eur
96,C1095,lille,2026-01-01T23:50:00,sales,2043.94,eur
97,C1096,paris,2026-01-02T00:00:00,sales,4325.96,eur
98,C1097,lille,2026-01-02T00:10:00,sales,1907.29,eur
99,C1098,lille,2026-01-02T00:20:00,returns,29,count
100,C1099,toulouse,2026-01-02T00:30:00,returns,13,count
101,C1100,lille,2026-01-02T00:40:00,tickets,22,count
102,C1101,lyon,2026-01-02T00:50:00,sales,965.69,eur
103,C1102,toulouse,2026-01-02T01:00:00,sales,2904.32,eur
104,C1103,paris,2026-01-02T01:10:00,sales,3744.92,eur
105,C1104,toulouse,2026-01-02T01:20:00,sales,2929.2,eur
106,C1105,paris,2026-01-02T01:30:00,tickets,5,count
107,C1106,lyon,2026-01-02T01:40:00,tickets,2,count
108,C1107,lyon,2026-01-02T01:50:00,sales,2983.27,eur
109,C1108,toulouse,2026-01-02T02:00:00,returns,3,count
110,C1109,paris,2026-01-02T02:10:00,sales,2903.02,eur
111,C1110,lille,2026-01-02T02:20:00,tickets,2,count
112,C1111,toulouse,2026-01-02T02:30:00,tickets,18,count
113,C1112,grenoble,2026-01-02T02:40:00,tickets,10,count
114,C1113,grenoble,2026-01-02T02:50:00,sales,3355.24,eur
115,C1114,lyon,2026-01-02T03:00:00,sales,1342.76,eur
116,C1115,grenoble,2026-01-02T03:10:00,tickets,20,count
117,C1116,paris,2026-01-02T03:20:00,returns,10,count
118,C1117,toulouse,2026-01-02T03:30:00,sales,2302.26,eur
119,C1118,lyon,2026-01-02T03:40:00,sales,384.84,eur
120,C1119,lyon,2026-01-02T03:50:00,tickets,8,count
121,C1120,paris,2026-01-02T04:00:00,returns,28,count
122,C1121,lyon,2026-01-02T04:10:00,sales,1860.24,eur
123,C1122,toulouse,2026-01-02T04:20:00,returns,26,count
124,C1123,toulouse,2026-01-02T04:30:00,tickets,9,count
125,C1124,paris,2026-01-02T04:40:00,tickets,16,count
126,C1125,toulouse,2026-01-02T04:50:00,tickets,26,count
127,C1126,paris,2026-01-02T05:00:00,returns,29,count
128,C1127,paris,2026-01-02T05:10:00,sales,1337.04,eur
129,C1128,lyon,2026-01-02T05:20:00,tickets,17,count
130,C1129,toulouse,2026-01-02T05:30:00,returns,9,count
131,C1130,lyon,2026-01-02T05:40:00,sales,3593.71,eur
132,C1131,grenoble,2026-01-02T05:50:00,tickets,20,count
133,C1132,grenoble,2026-01-02T06:00:00,tickets,15,count
134,C1133,lille,2026-01-02T06:10:00,sales,479.65,eur
135,C1134,paris,2026-01-02T06:20:00,returns,1,count
136,C1135,lyon,2026-01-02T06:30:00,returns,24,count
137,C1136,lyon,2026-01-02T06:40:00,tickets,8,count
138,C1137,toulouse,2026-01-02T06:50:00,tickets,14,count
139,C1138,toulouse,2026-01-02T07:00:00,tickets,13,count
140,C1139,lyon,2026-01-02T07:10:00,sales,577.13,eur
141,C1140,grenoble,2026-01-02T07:20:00,tickets,1,count
142,C1141,lyon,2026-01-02T07:30:00,tickets,17,count
143,C1142,paris,2026-01-02T07:40:00,returns,4,count
144,C1143,paris,2026-01-02T07:50:00,returns,11,count
145,C1144,lyon,2026-01-02T08:00:00,returns,6,count
146,C1145,grenoble,2026-01-02T08:10:00,tickets,3,count
147,C1146,lille,2026-01-02T08:20:00,tickets,28,count
148,C1147,lyon,2026-01-02T08:30:00,tickets,23,count
149,C1148,lyon,2026-01-02T08:40:00,sales,4325.74,eur
150,C1149,lyon,2026-01-02T08:50:00,returns,0,count
151,C1150,grenoble,2026-01-02T09:00:00,tickets,29,count
152,C1151,lyon,2026-01-02T09:10:00,returns,25,count
153,C1152,paris,2026-01-02T09:20:00,returns,5,count
154,C1153,paris,2026-01-02T09:30:00,returns,27,count
155,C1154,lyon,2026-01-02T09:40:00,returns,7,count
156,C1155,grenoble,2026-01-02T09:50:00,returns,11,count
157,C1156,lyon,2026-01-02T10:00:00,sales,1130.16,eur
158,C1157,grenoble,2026-01-02T10:10:00,returns,10,count
159,C1158,grenoble,2026-01-02T10:20:00,sales,4835.11,eur
160,C1159,toulouse,2026-01-02T10:30:00,returns,20,count
161,C1160,toulouse,2026-01-02T10:40:00,returns,21,count
162,C1161,paris,2026-01-02T10:50:00,returns,30,count
163,C1162,grenoble,2026-01-02T11:00:00,sales,4387.65,eur
164,C1163,grenoble,2026-01-02T11:10:00,sales,2911.34,eur
165,C1164,lille,2026-01-02T11:20:00,sales,559.84,eur
166,C1165,grenoble,2026-01-02T11:30:00,returns,23,count
167,C1166,toulouse,2026-01-02T11:40:00,returns,19,count
168,C1167,toulouse,2026-01-02T11:50:00,sales,1938.27,eur
169,C1168,lille,2026-01-02T12:00:00,sales,1288.52,eur
170,C1169,toulouse,2026-01-02T12:10:00,sales,2609.2,eur
171,C1170,lyon,2026-01-02T12:20:00,tickets,23,count
172,C1171,paris,2026-01-02T12:30:00,returns,13,count
173,C1172,grenoble,2026-01-02T12:40:00,tickets,29,count
174,C1173,paris,2026-01-02T12:50:00,tickets,10,count
175,C1174,grenoble,2026-01-02T13:00:00,tickets,28,count
176,C1175,lille,2026-01-02T13:10:00,tickets,9,count
177,C1176,grenoble,2026-01-02T13:20:00,returns,12,count
178,C1177,lyon,2026-01-02T13:30:00,tickets,4,count
179,C1178,lille,2026-01-02T13:40:00,returns,21,count
180,C1179,lyon,2026-01-02T13:50:00,tickets,23,count
181,C1180,grenoble,2026-01-02T14:00:00,tickets,18,count
182,C1181,paris,2026-01-02T14:10:00,returns,17,count
183,C1182,lyon,2026-01-02T14:20:00,returns,9,count
184,C1183,toulouse,2026-01-02T14:30:00,returns,25,count
185,C1184,grenoble,2026-01-02T14:40:00,tickets,20,count
186,C1185,lille,2026-01-02T14:50:00,returns,14,count
187,C1186,toulouse,2026-01-02T15:00:00,tickets,6,count
188,C1187,lyon,2026-01-02T15:10:00,returns,25,count
189,C1188,grenoble,2026-01-02T15:20:00,tickets,2,count
190,C1189,toulouse,2026-01-02T15:30:00,tickets,21,count
191,C1190,lyon,2026-01-02T15:40:00,returns,2,count
192,C1191,lyon,2026-01-02T15:50:00,tickets,9,count
193,C1192,paris,2026-01-02T16:00:00,sales,753.82,eur
194,C1193,toulouse,2026-01-02T16:10:00,sales,4920.0,eur
195,C1194,toulouse,2026-01-02T16:20:00,sales,2287.97,eur
196,C1195,lille,2026-01-02T16:30:00,sales,3597.36,eur
197,C1196,lyon,2026-01-02T16:40:00,returns,12,count
198,C1197,paris,2026-01-02T16:50:00,sales,3287.17,eur
199,C1198,lyon,2026-01-02T17:00:00,sales,3896.53,eur
200,C1199,toulouse,2026-01-02T17:10:00,sales,4024.47,eur
201,C1200,toulouse,2026-01-02T17:20:00,returns,1,count
202,C1201,paris,2026-01-02T17:30:00,sales,4589.0,eur
203,C1202,lille,2026-01-02T17:40:00,returns,4,count
204,C1203,toulouse,2026-01-02T17:50:00,tickets,16,count
205,C1204,lille,2026-01-02T18:00:00,tickets,10,count
206,C1205,toulouse,2026-01-02T18:10:00,tickets,26,count
207,C1206,toulouse,2026-01-02T18:20:00,returns,26,count
208,C1207,lyon,2026-01-02T18:30:00,returns,28,count
209,C1208,lille,2026-01-02T18:40:00,tickets,27,count
210,C1209,lyon,2026-01-02T18:50:00,returns,8,count
211,C1210,toulouse,2026-01-02T19:00:00,tickets,8,count
212,C1211,lyon,2026-01-02T19:10:00,returns,20,count
213,C1212,paris,2026-01-02T19:20:00,returns,14,count
214,C1213,lyon,2026-01-02T19:30:00,tickets,9,count
215,C1214,grenoble,2026-01-02T19:40:00,returns,10,count
216,C1215,lyon,2026-01-02T19:50:00,tickets,2,count
217,C1216,lyon,2026-01-02T20:00:00,sales,1171.68,eur
218,C1217,paris,2026-01-02T20:10:00,tickets,6,count
219,C1218,grenoble,2026-01-02T20:20:00,returns,13,count
220,C1219,lille,2026-01-02T20:30:00,tickets,14,count
221,C1220,lille,2026-01-02T20:40:00,sales,1050.04,eur
222,C1221,toulouse,2026-01-02T20:50:00,returns,28,count
223,C1222,toulouse,2026-01-02T21:00:00,tickets,0,count
224,C1223,paris,2026-01-02T21:10:00,returns,15,count
225,C1224,lille,2026-01-02T21:20:00,returns,9,count
226,C1225,toulouse,2026-01-02T21:30:00,returns,17,count
227,C1226,lyon,2026-01-02T21:40:00,tickets,28,count
228,C1227,grenoble,2026-01-02T21:50:00,returns,7,count
229,C1228,paris,2026-01-02T22:00:00,returns,15,count
230,C1229,lille,2026-01-02T22:10:00,returns,10,count
231,C1230,lille,2026-01-02T22:20:00,tickets,5,count
232,C1231,toulouse,2026-01-02T22:30:00,sales,4904.0,eur
233,C1232,toulouse,2026-01-02T22:40:00,sales,4536.51,eur
234,C1233,paris,2026-01-02T22:50:00,tickets,21,count
235,C1234,lyon,2026-01-02T23:00:00,sales,3220.89,eur
236,C1235,paris,2026-01-02T23:10:00,returns,5,count
237,C1236,grenoble,2026-01-02T23:20:00,returns,12,count
238,C1237,grenoble,2026-01-02T23:30:00,sales,2284.4,eur
239,C1238,lille,2026-01-02T23:40:00,returns,8,count
240,C1239,paris,2026-01-02T23:50:00,returns,26,count
241,C1240,toulouse,2026-01-03T00:00:00,returns,0,count
242,C1241,grenoble,2026-01-03T00:10:00,sales,4999.54,eur
243,C1242,paris,2026-01-03T00:20:00,sales,3257.72,eur
244,C1243,lyon,2026-01-03T00:30:00,sales,4749.07,eur
245,C1244,lyon,2026-01-03T00:40:00,sales,3114.25,eur
246,C1245,paris,2026-01-03T00:50:00,sales,2378.33,eur
247,C1246,lyon,2026-01-03T01:00:00,tickets,30,count
248,C1247,grenoble,2026-01-03T01:10:00,returns,22,count
249,C1248,toulouse,2026-01-03T01:20:00,returns,5,count
250,C1249,paris,2026-01-03T01:30:00,tickets,30,count
251,C1250,paris,2026-01-03T01:40:00,sales,4824.31,eur
252,C1251,grenoble,2026-01-03T01:50:00,tickets,0,count
253,C1252,lille,2026-01-03T02:00:00,tickets,21,count
254,C1253,lyon,2026-01-03T02:10:00,returns,30,count
255,C1254,lyon,2026-01-03T02:20:00,sales,2968.65,eur
256,C1255,grenoble,2026-01-03T02:30:00,sales,3492.02,eur
257,C1256,paris,2026-01-03T02:40:00,tickets,19,count
258,C1257,paris,2026-01-03T02:50:00,tickets,25,count
259,C1258,lille,2026-01-03T03:00:00,returns,17,count
260,C1259,paris,2026-01-03T03:10:00,tickets,11,count
261,C1260,grenoble,2026-01-03T03:20:00,tickets,20,count
262,C1261,lille,2026-01-03T03:30:00,sales,4250.89,eur
263,C1262,grenoble,2026-01-03T03:40:00,sales,2178.95,eur
264,C1263,lille,2026-01-03T03:50:00,tickets,28,count
265,C1264,lille,2026-01-03T04:00:00,tickets,4,count
266,C1265,grenoble,2026-01-03T04:10:00,sales,3674.3,eur
267,C1266,toulouse,2026-01-03T04:20:00,tickets,25,count
268,C1267,lille,2026-01-03T04:30:00,returns,14,count
269,C1268,grenoble,2026-01-03T04:40:00,tickets,18,count
270,C1269,lyon,2026-01-03T04:50:00,returns,27,count
271,C1270,lille,2026-01-03T05:00:00,sales,1409.06,eur
272,C1271,toulouse,2026-01-03T05:10:00,sales,3757.37,eur
273,C1272,lille,2026-01-03T05:20:00,tickets,21,count
274,C1273,lille,2026-01-03T05:30:00,returns,0,count
275,C1274,lille,2026-01-03T05:40:00,returns,5,count
276,C1275,grenoble,2026-01-03T05:50:00,sales,1787.03,eur
277,C1276,toulouse,2026-01-03T06:00:00,returns,8,count
278,C1277,grenoble,2026-01-03T06:10:00,tickets,28,count
279,C1278,toulouse,2026-01-03T06:20:00,tickets,0,count
280,C1279,lille,2026-01-03T06:30:00,sales,446.35,eur
281,C1280,lyon,2026-01-03T06:40:00,returns,17,count
282,C1281,lille,2026-01-03T06:50:00,tickets,15,count
283,C1282,paris,2026-01-03T07:00:00,returns,25,count
284,C1283,lille,2026-01-03T07:10:00,sales,1485.29,eur
285,C1284,grenoble,2026-01-03T07:20:00,tickets,7,count
286,C1285,grenoble,2026-01-03T07:30:00,tickets,18,count
287,C1286,toulouse,2026-01-03T07:40:00,returns,17,count
288,C1287,toulouse,2026-01-03T07:50:00,returns,13,count
289,C1288,lille,2026-01-03T08:00:00,returns,11,count
290,C1289,grenoble,2026-01-03T08:10:00,returns,9,count
291,C1290,lyon,2026-01-03T08:20:00,sales,620.87,eur
292,C1291,toulouse,2026-01-03T08:30:00,returns,3,count
293,C1292,lyon,2026-01-03T08:40:00,tickets,5,count
294,C1293,grenoble,2026-01-03T08:50:00,sales,3698.25,eur
295,C1294,toulouse,2026-01-03T09:00:00,tickets,18,count
296,C1295,paris,2026-01-03T09:10:00,tickets,9,count
297,C1296,grenoble,2026-01-03T09:20:00,sales,1495.31,eur
298,C1297,toulouse,2026-01-03T09:30:00,sales,1525.29,eur
299,C1298,paris,2026-01-03T09:40:00,sales,1386.07,eur
300,C1299,lyon,2026-01-03T09:50:00,tickets,9,count
301,C1300,lille,2026-01-03T10:00:00,tickets,27,count
302,C1301,toulouse,2026-01-03T10:10:00,sales,4366.14,eur
303,C1302,lille,2026-01-03T10:20:00,returns,15,count
304,C1303,lyon,2026-01-03T10:30:00,returns,10,count
305,C1304,lille,2026-01-03T10:40:00,sales,1277.34,eur
306,C1305,lille,2026-01-03T10:50:00,sales,4114.14,eur
307,C1306,toulouse,2026-01-03T11:00:00,returns,2,count
308,C1307,paris,2026-01-03T11:10:00,tickets,21,count
309,C1308,toulouse,2026-01-03T11:20:00,sales,763.0,eur
310,C1309,lyon,2026-01-03T11:30:00,returns,2,count
311,C1310,lille,2026-01-03T11:40:00,sales,2799.2,eur
312,C1311,toulouse,2026-01-03T11:50:00,tickets,19,count
313,C1312,lille,2026-01-03T12:00:00,sales,3882.95,eur
314,C1313,lille,2026-01-03T12:10:00,returns,29,count
315,C1314,toulouse,2026-01-03T12:20:00,returns,27,count
316,C1315,toulouse,2026-01-03T12:30:00,returns,9,count
317,C1316,toulouse,2026-01-03T12:40:00,tickets,1,count
318,C1317,lyon,2026-01-03T12:50:00,tickets,3,count
319,C1318,grenoble,2026-01-03T13:00:00,tickets,6,count
320,C1319,lyon,2026-01-03T13:10:00,tickets,2,count
321,C1320,paris,2026-01-03T13:20:00,sales,885.59,eur
322,C1321,lille,2026-01-03T13:30:00,sales,33.33,eur
323,C1322,lille,2026-01-03T13:40:00,tickets,19,count
324,C1323,lyon,2026-01-03T13:50:00,returns,1,count
325,C1324,grenoble,2026-01-03T14:00:00,returns,22,count
326,C1325,lille,2026-01-03T14:10:00,tickets,27,count
327,C1326,grenoble,2026-01-03T14:20:00,sales,3443.18,eur
328,C1327,lyon,2026-01-03T14:30:00,tickets,18,count
329,C1328,toulouse,2026-01-03T14:40:00,returns,3,count
330,C1329,grenoble,2026-01-03T14:50:00,sales,3245.22,eur
331,C1330,lyon,2026-01-03T15:00:00,sales,375.62,eur
332,C1331,toulouse,2026-01-03T15:10:00,returns,19,count
333,C1332,paris,2026-01-03T15:20:00,returns,14,count
334,C1333,grenoble,2026-01-03T15:30:00,returns,22,count
335,C1334,grenoble,2026-01-03T15:40:00,tickets,12,count
336,C1335,lille,2026-01-03T15:50:00,tickets,17,count
337,C1336,toulouse,2026-01-03T16:00:00,returns,2,count
338,C1337,grenoble,2026-01-03T16:10:00,sales,4449.33,eur
339,C1338,paris,2026-01-03T16:20:00,tickets,8,count
340,C1339,toulouse,2026-01-03T16:30:00,sales,1160.04,eur
341,C1340,paris,2026-01-03T16:40:00,tickets,30,count
342,C1341,grenoble,2026-01-03T16:50:00,tickets,26,count
343,C1342,lyon,2026-01-03T17:00:00,tickets,1,count
344,C1343,lille,2026-01-03T17:10:00,returns,16,count
345,C1344,toulouse,2026-01-03T17:20:00,returns,5,count
346,C1345,lille,2026-01-03T17:30:00,returns,20,count
347,C1346,lille,2026-01-03T17:40:00,sales,2360.65,eur
348,C1347,paris,2026-01-03T17:50:00,returns,10,count
349,C1348,lille,2026-01-03T18:00:00,sales,1662.42,eur
350,C1349,lille,2026-01-03T18:10:00,returns,21,count
351,C1350,lille,2026-01-03T18:20:00,tickets,1,count
352,C1351,grenoble,2026-01-03T18:30:00,sales,1586.3,eur
353,C1352,lille,2026-01-03T18:40:00,sales,4851.52,eur
354,C1353,paris,2026-01-03T18:50:00,tickets,26,count
355,C1354,toulouse,2026-01-03T19:00:00,tickets,27,count
356,C1355,paris,2026-01-03T19:10:00,returns,13,count
357,C1356,toulouse,2026-01-03T19:20:00,sales,2601.83,eur
358,C1357,lille,2026-01-03T19:30:00,returns,20,count
359,C1358,toulouse,2026-01-03T19:40:00,sales,1033.72,eur
360,C1359,lille,2026-01-03T19:50:00,sales,4639.81,eur
361,C1360,paris,2026-01-03T20:00:00,tickets,15,count
362,C1361,toulouse,2026-01-03T20:10:00,sales,4866.27,eur
363,C1362,grenoble,2026-01-03T20:20:00,sales,3554.72,eur
364,C1363,toulouse,2026-01-03T20:30:00,tickets,0,count
365,C1364,lyon,2026-01-03T20:40:00,returns,2,count
366,C1365,paris,2026-01-03T20:50:00,sales,2318.01,eur
367,C1366,lyon,2026-01-03T21:00:00,tickets,26,count
368,C1367,grenoble,2026-01-03T21:10:00,returns,29,count
369,C1368,grenoble,2026-01-03T21:20:00,tickets,22,count
370,C1369,lille,2026-01-03T21:30:00,returns,26,count
371,C1370,lille,2026-01-03T21:40:00,returns,7,count
372,C1371,lille,2026-01-03T21:50:00,tickets,4,count
373,C1372,toulouse,2026-01-03T22:00:00,sales,4610.9,eur
374,C1373,lyon,2026-01-03T22:10:00,tickets,28,count
375,C1374,lille,2026-01-03T22:20:00,sales,1395.71,eur
376,C1375,toulouse,2026-01-03T22:30:00,returns,29,count
377,C1376,paris,2026-01-03T22:40:00,returns,26,count
378,C1377,grenoble,2026-01-03T22:50:00,returns,23,count
379,C1378,lille,2026-01-03T23:00:00,tickets,18,count
380,C1379,lille,2026-01-03T23:10:00,sales,2243.81,eur
381,C1380,toulouse,2026-01-03T23:20:00,returns,10,count
382,C1381,lille,2026-01-03T23:30:00,tickets,12,count
383,C1382,lyon,2026-01-03T23:40:00,returns,27,count
384,C1383,toulouse,2026-01-03T23:50:00,tickets,7,count
385,C1384,lille,2026-01-04T00:00:00,returns,7,count
386,C1385,lille,2026-01-04T00:10:00,sales,1604.52,eur
387,C1386,lille,2026-01-04T00:20:00,tickets,29,count
388,C1387,lyon,2026-01-04T00:30:00,returns,21,count
389,C1388,paris,2026-01-04T00:40:00,returns,30,count
390,C1389,toulouse,2026-01-04T00:50:00,sales,2521.41,eur
391,C1390,paris,2026-01-04T01:00:00,returns,27,count
392,C1391,toulouse,2026-01-04T01:10:00,returns,3,count
393,C1392,lyon,2026-01-04T01:20:00,returns,0,count
394,C1393,lyon,2026-01-04T01:30:00,returns,27,count
395,C1394,grenoble,2026-01-04T01:40:00,sales,2358.06,eur
396,C1395,lille,2026-01-04T01:50:00,returns,19,count
397,C1396,grenoble,2026-01-04T02:00:00,tickets,2,count
398,C1397,toulouse,2026-01-04T02:10:00,tickets,27,count
399,C1398,grenoble,2026-01-04T02:20:00,returns,30,count
400,C1399,lille,2026-01-04T02:30:00,tickets,22,count
401,C1000,toulouse,2026-01-04T02:40:00,tickets,1,count
402,C1001,grenoble,2026-01-04T02:50:00,sales,1189.16,eur
403,C1002,lille,2026-01-04T03:00:00,sales,3738.9,eur
404,C1003,paris,2026-01-04T03:10:00,sales,3806.64,eur
405,C1004,grenoble,2026-01-04T03:20:00,returns,5,count
406,C1005,paris,2026-01-04T03:30:00,sales,249.04,eur
407,C1006,grenoble,2026-01-04T03:40:00,returns,11,count
408,C1007,lyon,2026-01-04T03:50:00,returns,4,count
409,C1008,toulouse,2026-01-04T04:00:00,tickets,13,count
410,C1009,lyon,2026-01-04T04:10:00,tickets,25,count
411,C1010,toulouse,2026-01-04T04:20:00,sales,891.85,eur
412,C1011,lyon,2026-01-04T04:30:00,returns,19,count
413,C1012,toulouse,2026-01-04T04:40:00,returns,29,count
414,C1013,grenoble,2026-01-04T04:50:00,sales,1176.3,eur
415,C1014,paris,2026-01-04T05:00:00,returns,8,count
416,C1015,grenoble,2026-01-04T05:10:00,returns,28,count
417,C1016,lyon,2026-01-04T05:20:00,tickets,17,count
418,C1017,grenoble,2026-01-04T05:30:00,sales,2219.81,eur
419,C1018,lille,2026-01-04T05:40:00,tickets,9,count
420,C1019,lille,2026-01-04T05:50:00,tickets,8,count
421,C1020,lille,2026-01-04T06:00:00,returns,6,count
422,C1021,lyon,2026-01-04T06:10:00,returns,3,count
423,C1022,grenoble,2026-01-04T06:20:00,returns,18,count
424,C1023,grenoble,2026-01-04T06:30:00,tickets,9,count
425,C1024,lille,2026-01-04T06:40:00,sales,4890.16,eur
426,C1025,toulouse,2026-01-04T06:50:00,returns,0,count
427,C1026,paris,2026-01-04T07:00:00,tickets,24,count
428,C1027,lille,2026-01-04T07:10:00,tickets,23,count
429,C1028,lyon,2026-01-04T07:20:00,returns,24,count
430,C1029,grenoble,2026-01-04T07:30:00,tickets,25,count
431,C1030,toulouse,2026-01-04T07:40:00,sales,3190.36,eur
432,C1031,lyon,2026-01-04T07:50:00,returns,21,count
433,C1032,paris,2026-01-04T08:00:00,tickets,3,count
434,C1033,lille,2026-01-04T08:10:00,returns,25,count
435,C1034,lyon,2026-01-04T08:20:00,sales,2906.28,eur
436,C1035,grenoble,2026-01-04T08:30:00,sales,4549.95,eur
437,C1036,lyon,2026-01-04T08:40:00,tickets,13,count
438,C1037,toulouse,2026-01-04T08:50:00,sales,678.16,eur
439,C1038,toulouse,2026-01-04T09:00:00,returns,16,count
440,C1039,lyon,2026-01-04T09:10:00,returns,26,count
441,C1040,lille,2026-01-04T09:20:00,returns,29,count
442,C1041,grenoble,2026-01-04T09:30:00,returns,23,count
